,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
51536,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,"$60,000 - $70,000",65000.0,4.22,Java; JavaScript,Arduino / Raspberry Pi; AngularJS; CoffeeScript; Java; JavaScript; MongoDB; Node.js; Python,Yes,8.0,Employed full-time,Finance / Banking,500-999 employees,5-9 people,0,Never,I'm somewhat satisfied with my job,Other,Sublime; Vim; IntelliJ,Multiple times a day,2-5 hours per week,Cats,Mac OS X,Yes,"501 - 1,000",Multiple times a day,I'm curious,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field),I am not interested in new job opportunities,Work/life balance; Quality of colleagues; Building something that's significant,Other (please specify),70%,Show me more live code; Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree completely,Neutral,Neutral,Disagree somewhat,Agree somewhat,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,Corporate policies; Interacting with stupid people; Changing requirements,To get help for my job; To give help to others; Because I can't do my job without it; To demonstrate that I'm good at what I do; To receive help on my personal projects
51588,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Engineer; Sr. Developer,Enterprise level services developer,Enterprise level services developer,11+ years,13.0,"$100,000 - $110,000",105000.0,4.22,Java; JavaScript,"Cloud (AWS, GAE, Azure, etc.); MongoDB; Node.js; ReactJS; Scala",Other (please specify),10.0,Employed full-time,Finance / Banking,20-99 employees,10-14 people,1,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,Notepad++; Vim; Eclipse; IntelliJ,Once a day,10-20 hours per week,Dogs,Windows 10,Yes,"501 - 1,000",Once a week,I'm curious,"On-the-job training; Full-time, intensive program (e.g. ""boot-camp""); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Tech stack; Opportunity for advancement; Job title; Company culture; Company reputation; Building something that's significant; Building something that's innovative,Writing my CV and keeping it updated,70%,Prepare me for who I will be speaking with,Star Trek,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree completely,Disagree completely,Neutral,Agree somewhat,Neutral,Agree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is very important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Fragile code base; Unrealistic expectations; Poor infrastructure or equipment; Changing requirements,To give help to others; Beacause I love to learn
51662,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Developer; Engineer; Sr. Developer; Expert,Mobile developer - Android,"Mobile Dev (Android, iOS, WP & Multi-Platform)",11+ years,13.0,"$110,000 - $120,000",115000.0,4.22,Android; Java; JavaScript,Android; Arduino / Raspberry Pi; Go; Java; JavaScript; Ruby,No,10.0,Freelance / Contractor,Finance / Banking,20-99 employees,1-4 people,0,Full-time remote,I love my job,Self-employed - I created my own job,Sublime; Android Studio; RubyMine,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,"10,001+",Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field); B.S. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Remote working option; Flexible work hours,Writing my CV and keeping it updated,50%,Show me more live code; Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Disagree somewhat,Agree somewhat,Neutral,Agree somewhat,Neutral,Disagree somewhat,This is somewhat important,This is very important,This is somewhat important,This is very important,This is very important,I don't care about this,I don't care about this,This is somewhat important,This is very important,This is very important,Interacting with stupid people; Unspecific requirements; Limited resources,To get help for my job; To give help to others; Because I can't do my job without it; whyso_onlinepresence; To discover new job opportunities; To demonstrate that I'm good at what I do
51735,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Full-stack Developer,Full-stack web developer,Full-stack web developer,6 - 10 years,8.0,"$70,000 - $80,000",75000.0,4.22,C#; CoffeeScript; JavaScript; Ruby; SQL,CoffeeScript; JavaScript; ReactJS; Ruby; Swift,No,7.0,Employed full-time,Healthcare,5-9 employees,1-4 people,0,Part-time remote,I'm somewhat dissatisfied with my job,A friend referred me,Sublime; Visual Studio,Multiple times a day,1-2 hours per week,Other (please specify),Mac OS X,I don't know,1,Multiple times a day,I'm curious,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)","I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Opportunity for advancement; Remote working option,Searching for a job that seems interesting,20%,Offer remote interviews (e.g. via video conference); Fewer brainteasers,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Neutral,Neutral,Agree somewhat,Neutral,Disagree somewhat,This is very important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,Inefficient development processes; Unrealistic expectations; Changing requirements; Unspecific requirements; Limited resources,To get help for my job; To receive help on my personal projects; Beacause I love to learn
51775,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Developer; Programmer; Sr. Developer; Manager; Ninja; Guru; Expert,other,,11+ years,13.0,"$130,000 - $140,000",135000.0,4.22,"C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js",C#; F#; Hadoop; iOS; JavaScript; Node.js,Yes,10.0,Employed full-time,Software Products,"10,000+ employees",20+ people,3,I rarely work remotely,I hate my job,Contacted by external recruiter,Visual Studio; Visual Studio Code,Multiple times a day,10-20 hours per week,Dogs,Windows 8,Yes,"5,001 - 10,000",Once a day,I'm curious,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)",I am actively looking for a new job,Salary; Office location; Company culture,Taking time off work to interview,20%,Show me more live code; Be more flexible about interview scheduling; Show me the space in which I will work,Star Trek,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree completely,Disagree completely,Neutral,Agree somewhat,Disagree somewhat,Disagree completely,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,I don't care about this,Inefficient development processes; Corporate policies; Limited resources,To get help for my job; To give help to others; whyso_onlinepresence
51820,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer; Sr. Developer,Developer with a statistics or mathematics background,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",11+ years,13.0,"$40,000 - $50,000",45000.0,4.22,C++; C#; F#,F#; Haskell; Rust,,8.0,Employed full-time,Software Products,20-99 employees,1-4 people,0,I rarely work remotely,I'm somewhat dissatisfied with my job,LinkedIn,Visual Studio,Multiple times a day,10-20 hours per week,Dogs,Windows 10,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught,I am actively looking for a new job,Salary; Ability to make or influence important decisions; Tech stack; Opportunity for advancement; Quality of colleagues; Company culture; Building something that's significant; Building something that's innovative,Taking time off work to interview,40%,Show me more live code; Be more flexible about interview scheduling; Offer remote interviews (e.g. via video conference); Introduce me to the team; interview_coffee,Star Trek,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,Disagree completely,Agree somewhat,Neutral,Disagree somewhat,This is somewhat important,This is very important,I don't care about this,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,Inefficient development processes; Unrealistic expectations; Non-technical management,To give help to others; To discover new job opportunities; To demonstrate that I'm good at what I do; Beacause I love to learn
51837,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Developer; Programmer; Full-stack Developer,Full-stack web developer,Full-stack web developer,2 - 5 years,3.5,"$70,000 - $80,000",75000.0,4.22,AngularJS; iOS; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; ReactJS; Salesforce; SQL,Android; C; C++; C#; Haskell; Objective-C; R; Swift,Other (please specify),7.0,Employed full-time,Web Services,5-9 employees,1-4 people,0,Never,I'm somewhat dissatisfied with my job,Other,Sublime,Multiple times a day,2-5 hours per week,Dogs,Ubuntu,I don't know,"10,001+",Multiple times a day,I want to be a better developer,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary,Finding time to search for a job,30%,,Star Trek,Neutral,Agree somewhat,Agree completely,Disagree somewhat,Disagree completely,Agree somewhat,Neutral,Neutral,Disagree somewhat,Disagree completely,I don't care about this,This is somewhat important,This is somewhat important,This is very important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Unrealistic expectations; Limited resources,To get help for my job; To give help to others; whyso_onlinepresence; To discover new job opportunities; To demonstrate that I'm good at what I do; Beacause I love to learn
51839,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,< 20,16.0,Male,Programmer,Student,Student,6 - 10 years,8.0,,,4.22,C; C++; Java,C; C++; Java,No,9.0,I'm a student,,,,,,,,Vim; Eclipse; Visual Studio,I never check-in or commit code,10-20 hours per week,Cats,Windows 8,No,1,Multiple times a day,Other (please specify),I'm self-taught,I am not interested in new job opportunities,,,,,,Disagree completely,Agree completely,Agree somewhat,Neutral,Agree completely,Disagree completely,,Agree somewhat,Disagree somewhat,Disagree completely,,,,,,,,,,,Poor documentation; Outdated technologies; Interacting with stupid people,To get help for my job
51847,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,,Student,Student,Less than 1 year,0.5,"$30,000 - $40,000",35000.0,4.22,JavaScript; Python; SQL,Arduino / Raspberry Pi; C; C++; C#; JavaScript; PHP; Python; SQL,Yes,3.0,Employed full-time,Internet,100-499 employees,15-20 people,3,Full-time remote,I love my job,Stack Overflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51917,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Sr. Developer; Manager; Full-stack Developer,Developer with a statistics or mathematics background,"Mathematics Developers (Data Scientists, Machine Learning Devs & Devs with Stats & Math Backgrounds)",11+ years,13.0,"$150,000 - $160,000",155000.0,4.22,C++; Hadoop; Java; JavaScript; Python,C++; Hadoop; Python,Yes,10.0,Employed full-time,Consulting,500-999 employees,10-14 people,1,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,IntelliJ; IPython / Jupyter; PyCharm; Visual Studio,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,"10,001+",Multiple times a day,I'm curious,On-the-job training; Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Equity; Quality of colleagues; Company culture,Searching for a job that seems interesting,100%,Fewer brainteasers,Star Trek,Agree completely,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Neutral,Disagree completely,Disagree completely,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,Changing requirements; Unspecific requirements,To get help for my job; To give help to others
52102,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,20-24,22.0,Male,Developer; Programmer,Student,Student,2 - 5 years,3.5,"Less than $10,000",5000.0,4.22,C; C++; C#; JavaScript; LAMP; Node.js,"Android; AngularJS; C; C++; C#; Cassandra; Cloud (AWS, GAE, Azure, etc.); Go; Haskell; iOS; JavaScript; MongoDB; Node.js; Objective-C; PHP; Python; ReactJS; Swift; WordPress",Other (please specify),7.0,I'm a student,,,,,,,,Atom; Coda; Vim; Eclipse; PhpStorm; PyCharm; Visual Studio Code; Xamarin; Xcode,Multiple times a day,5-10 hours per week,Cats,Mac OS X,Yes,2 - 100,Once a day,I'm curious,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",,,40%,,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Neutral,Neutral,Agree completely,Disagree somewhat,Disagree completely,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,Limited resources,To get help for my job; To give help to others; Because I can't do my job without it; whyso_onlinepresence; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn; I don't really use Stack Overflow. I just take surveys.
52172,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,35-39,37.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert,Engineering manager,Engineering manager,11+ years,13.0,"More than $200,000",210000.0,4.22,F#; Haskell,F#; Haskell,Yes,9.0,Employed full-time,Finance / Banking,"10,000+ employees",20+ people,0,I rarely work remotely,I'm somewhat satisfied with my job,A friend referred me,Emacs; Visual Studio,A couple times a week,5-10 hours per week,Other (please specify),Windows 7,Yes,"10,001+",Once a day,I'm curious,I'm self-taught; On-the-job training; Some college coursework in Computer Science (or related field); Masters Degree in Computer Science (or related field); PhD in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Quality of colleagues; Company culture,Searching for a job that seems interesting,100%,Introduce me to the boss; Show me the space in which I will work,Star Trek,Agree somewhat,Agree completely,Agree completely,Neutral,Disagree completely,Disagree completely,Neutral,Agree somewhat,Agree completely,Disagree somewhat,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,Inefficient development processes; Fragile code base; Unrealistic expectations,To get help for my job; To give help to others; whyso_onlinepresence
52187,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Developer; Programmer; Sr. Developer; Guru,DevOps,DevOps,2 - 5 years,3.5,"$60,000 - $70,000",65000.0,4.22,C#,C#; F#; Redis,No,9.0,Employed full-time,Finance / Banking,20-99 employees,1-4 people,0,Never,I'm somewhat satisfied with my job,Contacted by external recruiter,Visual Studio,Multiple times a day,1-2 hours per week,Cats,Windows 8,Yes,"1,001 - 5,000",Once a day,I want to be a better developer,I'm self-taught; Some college coursework in Computer Science (or related field),,,,,,,,,,,,,,,,,,,,,,,,,,,,
52237,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,35-39,37.0,Male,Sr. Developer,Enterprise level services developer,Enterprise level services developer,,,,,4.22,AngularJS; C#; Go; Hadoop; Java; JavaScript; MongoDB; Node.js; Python; Scala; SQL; SQL Server,C#; Hadoop; MongoDB; Node.js; Scala; Spark; SQL; SQL Server,No,9.0,Employed full-time,Finance / Banking,,,0,I rarely work remotely,I'm somewhat satisfied with my job,LinkedIn,Notepad++; Vim; Eclipse; IntelliJ; IPython / Jupyter; NetBeans; Visual Studio,Multiple times a day,5-10 hours per week,Dogs,Windows 10,Yes,"5,001 - 10,000",Multiple times a day,To keep my skills up to date,"On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)","I'm not actively looking, but I am open to new opportunities",Opportunity for advancement,The interview process,20%,Show me more live code; Offer remote interviews (e.g. via video conference); Introduce me to the team; Fewer brainteasers,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Disagree completely,Neutral,Agree somewhat,Agree somewhat,Disagree completely,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is very important,This is somewhat important,Fragile code base; Unrealistic expectations; Poor documentation; Changing requirements; Limited resources,To give help to others; whyso_onlinepresence; Beacause I love to learn
52243,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,30-34,32.0,Male,Developer; Engineer; Programmer; Sr. Developer,other,,6 - 10 years,8.0,"$120,000 - $130,000",125000.0,4.22,C#; JavaScript; SQL; SQL Server; WordPress,Android; C; C++; C#; Java; JavaScript; SQL; SQL Server,Other (please specify),6.0,Self-employed,Consulting,1-4 employees,1-4 people,0,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by external recruiter,Notepad++; Visual Studio,Multiple times a day,None,Other (please specify),Windows 10,Yes,"1,001 - 5,000",Multiple times a day,To build a specific product I have in mind,I'm self-taught; On-the-job training; B.S. in Computer Science (or related field); Masters Degree in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Opportunity for advancement; Building something that's significant; Flexible work hours; Building something that's innovative,Finding time to search for a job,50%,Show me more live code; Offer remote interviews (e.g. via video conference); Introduce me to the boss; Fewer brainteasers,Star Wars,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Disagree completely,Neutral,Disagree completely,Neutral,Neutral,Neutral,I don't care about this,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,I don't care about this,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Corporate policies; Outdated technologies; Non-technical management; Poor infrastructure or equipment; Changing requirements; Unspecific requirements; Limited resources,To get help for my job; To give help to others; Because I can't do my job without it
52262,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,35-39,37.0,Male,Developer; Engineer; Programmer; Sr. Developer; Manager,"Executive (VP of Eng., CTO, CIO, etc.)","Executive (VP of Eng., CTO, CIO, etc.)",11+ years,13.0,"$110,000 - $120,000",115000.0,4.22,AngularJS; C#; CoffeeScript; JavaScript,C#; F#,No,7.0,Employed full-time,Other (please specify),10-19 employees,1-4 people,1,Part-time remote,I love my job,Other,Sublime; Visual Studio,Multiple times a day,None,Dogs,Windows 10,Other (please specify),"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; Part-time program (e.g. night school),I am not interested in new job opportunities,Salary; Work/life balance; Building something that's innovative,Other (please specify),20%,,Star Wars,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree somewhat,Agree somewhat,Agree completely,Neutral,Disagree completely,Disagree completely,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is very important,I don't care about this,Changing requirements; Limited resources,To get help for my job; To give help to others
52334,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,25-29,27.0,Male,Developer; Engineer; Programmer; Sr. Developer; Expert,Enterprise level services developer,Enterprise level services developer,6 - 10 years,8.0,"$70,000 - $80,000",75000.0,4.22,C++; Cassandra; iOS; Java; JavaScript; Node.js; Objective-C; Perl; Python; Ruby,Arduino / Raspberry Pi; Node.js; Scala,No,9.0,Employed full-time,Software Products,100-499 employees,1-4 people,1,Never,I'm somewhat satisfied with my job,Contacted by external recruiter,Notepad++; IntelliJ,Multiple times a day,None,Cats,Windows 7,Yes,"5,001 - 10,000",Multiple times a day,I want to be a better developer,B.A. in Computer Science (or related field); Masters Degree in Computer Science (or related field),I am not interested in new job opportunities,Ability to make or influence important decisions; Office location; Quality of colleagues; Company culture; Building something that's significant,Writing my CV and keeping it updated,70%,Show me more live code,Star Wars; Star Trek,Neutral,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree completely,Neutral,Disagree completely,Agree somewhat,Disagree completely,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Poor team dynamics; Inefficient development processes; Trying to be nice,To get help for my job; To give help to others; whyso_onlinepresence; Beacause I love to learn
52505,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,< 20,16.0,Male,Developer; Programmer,,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52696,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Developer; Programmer; Sr. Developer; Manager,Back-end web developer,Back-end web developer,6 - 10 years,8.0,"$80,000 - $90,000",85000.0,4.22,Python; Ruby,Go; Python,No,8.0,Employed full-time,Government,100-499 employees,10-14 people,2,I rarely work remotely,I'm somewhat satisfied with my job,I knew I wanted to work here. I sought out the opportunity directly,Atom; Vim,Multiple times a day,2-5 hours per week,Other (please specify),Mac OS X,Yes,"10,001+",Multiple times a day,I'm curious,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Tech stack; Office location; Building something that's significant,Writing cover letters,100%,Show me more live code; Introduce me to the team; Prepare me for who I will be speaking with,Star Wars,Neutral,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Disagree somewhat,Neutral,Disagree completely,Agree somewhat,Agree somewhat,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,Fragile code base; Limited resources,To give help to others; whyso_onlinepresence; Beacause I love to learn
52795,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,< 20,16.0,Male,Developer; Programmer; Ninja; Hacker,Student,Student,2 - 5 years,3.5,,,4.22,Haskell; Python; SQL; WordPress,Arduino / Raspberry Pi; C++; Haskell; Python,,8.0,I'm a student,,,,,,,,,Multiple times a day,20+ hours per week,Cats,Other Linux,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; Some college coursework in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",,,,,Star Wars,Agree completely,Agree completely,Agree completely,Neutral,Agree completely,Disagree completely,Neutral,Agree completely,Disagree somewhat,Disagree somewhat,This is very important,,,This is very important,This is very important,,,,,,,To give help to others; To demonstrate that I'm good at what I do; To communicate with others like me; To receive help on my personal projects; Beacause I love to learn
52823,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,20-24,22.0,Male,Developer; Engineer; Programmer,other,,2 - 5 years,3.5,"$50,000 - $60,000",55000.0,4.22,C; Python; Swift,Arduino / Raspberry Pi; JavaScript; Python; Swift,Other (please specify),6.0,Employed full-time,Telecommunications,500-999 employees,5-9 people,1,Never,I love my job,Career fair,Sublime; TextMate; Vim; Xcode,Multiple times a day,5-10 hours per week,Cats,Mac OS X,Yes,"1,001 - 5,000",Multiple times a day,I want to be a better developer,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Company culture,The interview process,40%,Introduce me to the team; Show me the space in which I will work; Fewer brainteasers,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree completely,Agree completely,Disagree completely,Agree somewhat,Agree completely,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,I don't care about this,I don't care about this,Inefficient development processes; Outdated technologies,To get help for my job; whyso_onlinepresence; Beacause I love to learn
53161,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Developer,Full-stack web developer,Full-stack web developer,11+ years,13.0,,,4.22,JavaScript; SQL; SQL Server; Visual Basic,AngularJS; C#; Go; iOS; MongoDB; Node.js; ReactJS; Redis; Swift,Other (please specify),6.0,Employed full-time,Software Products,100-499 employees,15-20 people,3,Part-time remote,I hate my job,Contacted by external recruiter,Visual Studio,Once a day,None,Cats,,Yes,1,Once a day,I want to be a better developer,"I'm self-taught; On-the-job training; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); B.S. in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Work/life balance; Company culture,Taking time off work to interview,0%,Show me the space in which I will work; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Neutral,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Disagree somewhat,Neutral,Agree completely,Agree completely,Neutral,This is somewhat important,This is very important,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,Inefficient development processes; Poor scheduling; Unrealistic expectations,To get help for my job; To give help to others; To discover new job opportunities; Beacause I love to learn
53175,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Engineer; Manager,Engineering manager,Engineering manager,11+ years,13.0,"$110,000 - $120,000",115000.0,4.22,C#; SQL; SQL Server; WordPress,,,5.0,Employed full-time,Education,100-499 employees,5-9 people,2,I rarely work remotely,I'm somewhat satisfied with my job,Contacted by company (in-house recruiter),Notepad++; Sublime; Eclipse; Visual Studio; Visual Studio Code; Xcode,A couple times a week,1-2 hours per week,,Windows 10,Yes,I'm not sure,,I learn new technology when my job requires it,"On-the-job training; Full-time, intensive program (e.g. ""boot-camp""); Part-time program (e.g. night school); Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Industry certification program; Masters Degree in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Work/life balance,,,Introduce me to the team; interview_coffee; Show me the space in which I will work,,Agree somewhat,Agree somewhat,Agree completely,Agree completely,Agree completely,Disagree completely,Agree somewhat,Disagree completely,Agree somewhat,Disagree completely,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,I don't care about this,This is somewhat important,Unrealistic expectations; Unspecific requirements,To get help for my job; To give help to others
53225,Meta Stack Overflow Post,United Kingdom,Northern Europe,Western Europe,40-49,44.5,Male,Developer; Engineer; Programmer,Database administrator,Database administrator,11+ years,13.0,"$50,000 - $60,000",55000.0,4.22,C; C++; JavaScript; LAMP; PHP; SQL,C++; JavaScript; LAMP; PHP; SQL,Other (please specify),10.0,Employed full-time,Finance / Banking,"1,000-4,999 employees",5-9 people,1,I rarely work remotely,I love my job,Contacted by external recruiter,Notepad++; Eclipse; Visual Studio,Other (please specify),None,Dogs,Windows 7,Yes,"10,001+",Multiple times a day,To keep my skills up to date,Masters Degree in Computer Science (or related field),I am not interested in new job opportunities,Work/life balance; Office location; Company culture,Other (please specify),90%,Introduce me to the team,,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Neutral,Agree somewhat,Disagree completely,This is somewhat important,This is somewhat important,I don't care about this,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,I don't care about this,I don't care about this,Poor documentation; Unspecific requirements,To give help to others; whyso_onlinepresence; Beacause I love to learn
